Location,time,Temperature,Humidity,Wind_Speed,Rain,Classes
Jharkhand_India,2022-01-01,20.4,78,8.5,0.0,0
Jharkhand_India,2022-01-02,21.1,80,8.7,0.0,0
Jharkhand_India,2022-01-03,22.0,80,9.7,0.0,0
Jharkhand_India,2022-01-04,22.7,76,8.5,0.0,0
Jharkhand_India,2022-01-05,23.8,68,9.7,0.0,0
Jharkhand_India,2022-01-06,25.0,64,9.4,0.0,0
Jharkhand_India,2022-01-07,24.2,64,8.5,0.0,0
Jharkhand_India,2022-01-08,26.2,68,10.8,0.0,0
Jharkhand_India,2022-01-09,26.8,71,13.3,0.0,0
Jharkhand_India,2022-01-10,24.0,84,7.6,0.1,0
Jharkhand_India,2022-01-11,21.3,85,10.5,5.8,0
Jharkhand_India,2022-01-12,18.8,90,8.2,0.8,0
Jharkhand_India,2022-01-13,21.4,79,9.6,0.0,0
Jharkhand_India,2022-01-14,20.2,81,9.5,2.2,0
Jharkhand_India,2022-01-15,20.4,86,11.3,6.5,0
Jharkhand_India,2022-01-16,20.2,80,10.4,0.0,0
Jharkhand_India,2022-01-17,20.5,79,8.6,0.0,0
Jharkhand_India,2022-01-18,20.3,78,9.8,0.0,0
Jharkhand_India,2022-01-19,20.3,76,10.7,0.0,0
Jharkhand_India,2022-01-20,21.4,69,9.7,0.0,0
Jharkhand_India,2022-01-21,21.4,73,6.9,0.2,0
Jharkhand_India,2022-01-22,24.8,69,10.9,0.0,0
Jharkhand_India,2022-01-23,20.2,88,10.9,8.9,0
Jharkhand_India,2022-01-24,21.3,86,9.5,0.6,0
Jharkhand_India,2022-01-25,19.1,83,11.8,0.0,0
Jharkhand_India,2022-01-26,19.5,71,11.8,1.4,0
Jharkhand_India,2022-01-27,18.5,66,14.8,0.0,0
Jharkhand_India,2022-01-28,18.1,70,15.7,0.0,0
Jharkhand_India,2022-01-29,19.8,62,14.5,0.0,0
Jharkhand_India,2022-01-30,22.4,56,15.5,0.0,0
Jharkhand_India,2022-01-31,24.1,58,14.0,0.0,0
Jharkhand_India,2022-02-01,23.8,57,19.0,0.0,0
Jharkhand_India,2022-02-02,25.8,53,13.4,0.0,0
Jharkhand_India,2022-02-03,26.5,64,13.6,0.0,0
Jharkhand_India,2022-02-04,23.5,77,15.1,34.8,0
Jharkhand_India,2022-02-05,20.7,60,24.7,0.0,0
Jharkhand_India,2022-02-06,21.8,65,13.4,0.0,0
Jharkhand_India,2022-02-07,23.8,59,15.1,0.0,0
Jharkhand_India,2022-02-08,25.0,55,10.7,0.0,0
Jharkhand_India,2022-02-09,27.9,60,11.4,0.0,0
Jharkhand_India,2022-02-10,24.8,75,18.4,5.7,0
Jharkhand_India,2022-02-11,21.8,64,16.4,0.0,0
Jharkhand_India,2022-02-12,22.4,53,15.8,0.0,0
Jharkhand_India,2022-02-13,23.3,53,10.3,0.0,0
Jharkhand_India,2022-02-14,24.6,51,10.0,0.0,0
Jharkhand_India,2022-02-15,25.9,49,14.9,0.0,0
Jharkhand_India,2022-02-16,26.3,54,17.7,0.0,0
Jharkhand_India,2022-02-17,26.4,51,15.9,0.0,0
Jharkhand_India,2022-02-18,27.1,40,21.4,0.0,0
Jharkhand_India,2022-02-19,28.0,37,27.5,0.0,1
Jharkhand_India,2022-02-20,25.6,46,22.5,0.1,0
Jharkhand_India,2022-02-21,26.9,40,20.7,0.0,0
Jharkhand_India,2022-02-22,27.3,42,11.8,0.0,0
Jharkhand_India,2022-02-23,30.6,48,16.8,0.0,0
Jharkhand_India,2022-02-24,30.4,47,19.8,2.2,0
Jharkhand_India,2022-02-25,29.3,56,20.3,0.3,0
Jharkhand_India,2022-02-26,29.0,52,12.8,0.0,0
Jharkhand_India,2022-02-27,30.7,61,19.2,0.8,0
Jharkhand_India,2022-02-28,28.5,62,17.2,0.1,0
Jharkhand_India,2022-03-01,28.2,64,11.3,0.3,0
Jharkhand_India,2022-03-02,30.0,57,12.5,0.0,0
Jharkhand_India,2022-03-03,30.3,48,14.3,0.0,0
Jharkhand_India,2022-03-04,31.1,43,17.4,0.0,0
Jharkhand_India,2022-03-05,30.4,44,19.5,0.0,0
Jharkhand_India,2022-03-06,29.8,48,8.3,0.0,0
Jharkhand_India,2022-03-07,30.5,47,8.7,0.0,0
Jharkhand_India,2022-03-08,31.7,43,12.1,0.0,0
Jharkhand_India,2022-03-09,31.3,40,13.2,0.0,0
Jharkhand_India,2022-03-10,31.5,38,15.2,0.0,1
Jharkhand_India,2022-03-11,31.7,41,18.1,0.0,1
Jharkhand_India,2022-03-12,31.2,40,18.2,0.0,0
Jharkhand_India,2022-03-13,32.0,41,13.7,0.0,0
Jharkhand_India,2022-03-14,33.3,40,10.6,0.0,0
Jharkhand_India,2022-03-15,34.3,44,11.9,0.0,0
Jharkhand_India,2022-03-16,34.8,40,13.4,0.0,0
Jharkhand_India,2022-03-17,35.2,41,15.8,0.0,0
Jharkhand_India,2022-03-18,36.5,40,15.9,0.0,0
Jharkhand_India,2022-03-19,36.8,36,13.7,0.0,1
Jharkhand_India,2022-03-20,36.2,35,10.8,0.0,0
Jharkhand_India,2022-03-21,36.6,37,16.1,0.0,1
Jharkhand_India,2022-03-22,36.5,33,22.7,0.0,1
Jharkhand_India,2022-03-23,35.4,30,17.1,0.0,1
Jharkhand_India,2022-03-24,36.5,25,22.5,0.0,1
Jharkhand_India,2022-03-25,36.7,29,22.8,0.0,1
Jharkhand_India,2022-03-26,36.4,29,24.1,0.0,1
Jharkhand_India,2022-03-27,35.2,23,21.8,0.0,1
Jharkhand_India,2022-03-28,36.4,21,23.4,0.0,1
Jharkhand_India,2022-03-29,37.6,22,19.1,0.0,1
Jharkhand_India,2022-03-30,38.2,29,21.7,0.0,1
Jharkhand_India,2022-03-31,39.0,35,20.1,0.0,1
Jharkhand_India,2022-04-01,39.3,29,14.4,0.0,1
Jharkhand_India,2022-04-02,39.0,38,19.2,0.0,1
Jharkhand_India,2022-04-03,38.4,45,19.3,0.0,1
Jharkhand_India,2022-04-04,39.7,22,20.7,0.0,1
Jharkhand_India,2022-04-05,39.4,23,18.8,0.0,1
Jharkhand_India,2022-04-06,38.9,19,20.1,0.0,1
Jharkhand_India,2022-04-07,38.9,23,21.4,0.0,1
Jharkhand_India,2022-04-08,39.6,21,22.0,0.0,1
Jharkhand_India,2022-04-09,40.3,20,21.0,0.0,1
Jharkhand_India,2022-04-10,40.9,18,23.7,0.0,1
Jharkhand_India,2022-04-11,40.6,24,20.8,0.0,1
Jharkhand_India,2022-04-12,40.7,39,19.3,0.0,1
Jharkhand_India,2022-04-13,41.5,34,19.9,0.0,1
Jharkhand_India,2022-04-14,40.1,28,19.5,0.0,1
Jharkhand_India,2022-04-15,40.4,21,27.7,0.0,1
Jharkhand_India,2022-04-16,40.3,19,19.4,0.0,1
Jharkhand_India,2022-04-17,40.3,18,21.7,0.0,1
Jharkhand_India,2022-04-18,41.3,18,20.2,0.0,1
Jharkhand_India,2022-04-19,41.8,23,22.7,0.0,1
Jharkhand_India,2022-04-20,41.6,33,20.5,0.0,1
Jharkhand_India,2022-04-21,39.3,56,14.6,0.0,1
Jharkhand_India,2022-04-22,36.7,44,21.1,1.7,0
Jharkhand_India,2022-04-23,39.3,25,19.7,0.0,1
Jharkhand_India,2022-04-24,39.4,21,22.1,0.0,1
Jharkhand_India,2022-04-25,39.8,19,18.1,0.0,1
Jharkhand_India,2022-04-26,40.8,20,18.6,0.0,1
Jharkhand_India,2022-04-27,40.7,20,20.7,0.0,1
Jharkhand_India,2022-04-28,41.7,23,18.4,0.0,1
Jharkhand_India,2022-04-29,41.9,33,23.4,0.0,1
Jharkhand_India,2022-04-30,40.5,37,24.7,0.0,1
Jharkhand_India,2022-05-01,38.8,58,24.7,0.2,1
Jharkhand_India,2022-05-02,37.4,50,15.8,0.0,0
Jharkhand_India,2022-05-03,38.7,61,17.0,4.9,0
Jharkhand_India,2022-05-04,39.3,62,20.3,0.1,1
Jharkhand_India,2022-05-05,36.5,61,16.1,0.8,0
